Amplitude,Latency,AUC,Thickness,nTurns,nPhases,Duration,T1T,T1A,T2T,T2A,timeDiff,ampRatio
2293.77993373483,23.75249500998,8677.76220725469,3.78317120994479,2,2,38.8223552894212,28.6427145708583,1533.80474355343,32.3020625415835,-759.975190181405,3.65934797072521,2.01823002036068
1347.78437109403,25.1164337990685,5411.86111792176,4.01537607497914,2,2,43.313373253493,28.709248170326,866.212265828166,32.8010645375915,-481.572105265861,4.09181636726547,1.79871769223418
1450.24183439035,24.4510978043912,5169.35571435866,3.56447841440993,2,2,41.9494344644045,28.8755821689953,887.894075621306,32.5681969394544,-562.347758769044,3.69261477045909,1.57890568918576
1464.23900598513,24.4178310046574,5127.82522683699,3.50204113254517,2,2,33.0671989354624,28.8755821689953,942.711561473245,33.0006653359947,-521.527444511889,4.12508316699935,1.80759722502342
666.936214930493,24.6174318030605,2607.41288417176,3.9095386122397,2,2,31.2042581503659,29.0419161676647,412.53439760194,32.8343313373254,-254.401817328553,3.79241516966069,1.62158589091038
645.364546374401,25.1497005988024,2638.18600747395,4.08790043130667,2,2,33.7990685296075,29.1084497671324,401.910346343501,32.6014637391883,-243.4542000309,3.49301397205589,1.65086634895799
511.117590776902,25.3160345974717,2093.47164017618,4.09587084841687,2,2,37.5582168995343,28.8755821689953,339.604780648722,33.2335329341317,-171.51281012818,4.35795076513639,1.98005490315807
636.302401568837,25.0831669993347,2304.6362355111,3.62191975046596,2,2,29.3080505655356,28.8423153692615,411.733204149192,33.2335329341317,-224.569197419645,4.39121756487026,1.83343579119535
865.525960859092,25.0499001996008,3372.49467991921,3.8964685433257,2,2,42.6147704590818,28.6427145708583,534.621127014109,33.0671989354624,-330.904833844983,4.42448436460413,1.61563408065704
879.203249005863,24.4178310046574,3032.6488112515,3.44931483667809,2,2,32.4018629407851,28.6759813705922,551.480419157734,32.9008649367931,-327.722829848128,4.22488356620093,1.68276472961404
760.953595398639,24.7172322022621,2652.08194966175,3.48520851428845,3,2,33.3998669328011,28.7425149700599,484.819481739925,33.0339321357285,-276.134113658715,4.29141716566866,1.7557391780254
1387.95843074315,24.9168330006653,5333.38796330894,3.84261361520265,2,2,35.4291417165669,28.6427145708583,898.778148982075,32.6347305389222,-489.180281761079,3.99201596806387,1.83731475387033
1448.50888110301,24.6174318030605,5712.18405350472,3.94349259989005,2,2,39.1882900864937,28.8090485695276,942.113031405399,32.7012641383899,-506.395849697607,3.89221556886228,1.86042802674623
1159.36286001867,24.5841650033267,4267.17586644754,3.68062149789654,2,2,39.7205588822355,28.7757817697938,746.874744465044,32.8675981370592,-412.488115553629,4.09181636726547,1.8106576075837
1163.66586809581,24.6506986027944,4460.05822591832,3.83276535661964,2,2,48.4364604125083,28.8423153692615,758.265050649213,32.8010645375915,-405.400817446592,3.95874916833002,1.87040829228004
511.288101626614,24.5508982035928,2114.6035723761,4.13583567786673,2,2,35.0964737192282,28.5761809713906,293.061210529104,32.6347305389222,-218.22689109751,4.0585495675316,1.34291978891893
1017.5163217507,24.3180306054558,3632.88680668147,3.57034745195132,2,2,35.8283433133733,28.4098469727212,651.263240166498,32.667997338656,-366.253081584198,4.2581503659348,1.77817818583126
1831.5048785423,24.2182302062542,7715.87427654006,4.21286034612213,2,2,44.1783100465735,28.7757817697938,1145.23154077357,33.3998669328011,-686.273337768728,4.62408516300731,1.66876880937419
1035.46485332071,25.5489021956088,3810.44744597387,3.6799389508527,2,2,39.8203592814371,28.9421157684631,673.906931909654,33.1337325349301,-361.55792141106,4.19161676646708,1.86389757214994
438.618250940459,24.1184298070526,2165.16546302575,4.93633235366594,2,2,35.6952761144378,29.5076513639388,256.51327583057,33.4996673320027,-182.104975109889,3.99201596806387,1.40860114159857
966.555669663964,24.9500998003992,3781.60636529319,3.91245583051405,2,2,37.7578176979375,28.3765801729874,627.465740306201,32.8010645375915,-339.089929357763,4.42448436460413,1.8504405055456
1699.21420293745,25.0166333998669,6723.53465748147,3.95684937535152,2,2,36.892880904857,28.9088489687292,1119.28654856139,33.0006653359947,-579.927654376057,4.09181636726548,1.93004513600171
255.984590805896,25.4823685961411,879.730293339936,3.43665331796087,2,2,21.3905522288756,28.4098469727212,163.570508152161,32.435129740519,-92.4140826537346,4.02528276779773,1.76997383358813
1949.40663994905,23.8190286094478,8124.6128331836,4.16773630841636,2,2,44.4444444444444,28.6427145708583,1239.79716587083,33.166999334664,-709.609474078222,4.52428476380571,1.74715418995965
664.442450029902,25.2827677977379,2730.08491906377,4.10883578997837,3,2,39.7205588822355,29.0086493679308,425.355169774734,32.9673985362608,-239.087280255168,3.95874916833002,1.77907904310414
1583.83478052554,24.0851630073187,6465.83881456245,4.08239476368676,2,2,47.7378576180971,28.5761809713906,1020.91586175457,32.667997338656,-562.918918770973,4.09181636726547,1.81361085533161
2559.05054872008,22.4218230206254,10718.9364738357,4.18863803968112,3,2,50.1996007984032,28.8423153692615,1685.50459047945,33.2002661343979,-873.545958240627,4.35795076513639,1.9294973259039
1375.21681451612,24.5508982035928,5577.7980191121,4.0559408234655,2,2,43.1137724550898,28.8423153692615,875.081895759628,32.667997338656,-500.13491875649,3.82568196939455,1.74969165907349
1659.62635810351,24.3512974051896,7077.81230805144,4.26470227680609,2,2,42.315369261477,28.6427145708583,1152.58808798488,32.8675981370592,-507.03827011863,4.22488356620093,2.27317769862857
579.745680504609,24.750499001996,2125.98646587954,3.66710186444009,2,2,31.0379241516966,28.4098469727212,372.632285796611,32.4018629407851,-207.113394707998,3.99201596806387,1.79917038355714
