Amplitude,Latency,AUC,Thickness,nTurns,nPhases,Duration,T1T,T1A,T2T,T2A,timeDiff,ampRatio
515.135275132899,17.5316034597472,2639.97392208342,5.12481681904299,2,2,35.9614105123087,21.6566866267465,262.463924425439,29.1084497671324,-252.67135070746,7.45176314038589,1.03875616958773
94.0957598902932,19.4943446440452,535.248512566929,5.68833827572016,4,2,33.9321357285429,22.9540918163673,58.4488961081856,35.4291417165669,-35.6468637821076,12.4750499001996,1.63966447274173
378.628943650088,18.3300066533599,1595.44473905782,4.21374214997219,3,2,34.6972721224218,24.3845642049235,172.761582573433,29.3745841650033,-205.867361076655,4.99001996007983,0.839188794522432
207.258294245072,18.7292082501663,1045.31263209185,5.04352617539073,3,2,29.6739853626081,22.0891550232868,95.9852454857849,30.0066533599468,-111.273048759287,7.91749833666,0.862610008048094
1196.32870664386,17.2654690618762,6683.9854678851,5.5870810679083,3,2,37.0259481037924,21.4903526280772,757.168551615421,29.5741849634065,-439.160155028435,8.08383233532935,1.72412852793167
0,0,0,0,0,0,0,0,0,0,0,0,0
1928.00099900132,16.9993346640053,9014.94004392665,4.67579635518667,3,3,38.9886892880905,20.8915502328676,1266.07801638971,29.5409181636727,-661.922982611612,8.64936793080506,1.91272708403992
1973.0119999917,17.564870259481,12960.1788619239,6.56872784452321,3,2,33.5662009314704,21.3572854291417,1275.2519038019,31.0379241516966,-697.760096189795,9.68063872255489,1.82763662004401
2830.34773480165,17.0326014637392,14891.7131083097,5.26144294045669,4,2,39.7538256819694,20.9913506320692,1632.52933190686,29.7737857618097,-1197.81840289479,8.78243512974052,1.36291889318238
0,0,0,0,0,0,0,0,0,0,0,0,0
1748.64605473243,16.833000665336,10137.8108618539,5.79752022109767,3,2,36.7930805056554,20.8250166333999,1229.28370953383,29.5409181636727,-519.362345198595,8.71590153027279,2.36690957844426
2046.82704746033,16.9660678642715,12103.6617363212,5.91337785541733,3,2,34.8303393213573,20.9913506320692,1428.54552755903,31.9693945442448,-618.281519901305,10.9780439121757,2.31050982695886
2087.3462680996,17.0991350632069,12337.4701681825,5.9106006304431,4,2,36.0279441117764,20.9913506320692,1375.53027133563,30.0066533599468,-711.815996763968,9.01530272787757,1.93242393763137
99.1511637943606,20.0266134397871,372.909579185653,3.76102069723626,3,2,18.4963406520293,26.8795741849634,32.5339866308999,29.4743845642049,-66.6171771634607,2.59481037924152,0.488372339030071
1152.93124570693,17.9308050565536,6262.42955961925,5.43174589372791,3,2,31.2707917498337,21.6899534264804,728.87509653738,30.9713905522289,-424.056149169555,9.28143712574851,1.71881742067593
1377.08865655961,16.8662674650699,6273.91872818759,4.55592942277353,3,3,38.9221556886228,21.2242182302062,899.168443612961,29.7405189620759,-477.920212946645,8.51630073186961,1.88141957434502
0,0,0,0,0,0,0,0,0,0,0,0,0
1902.6946958786,16.9993346640053,12285.5337515126,6.45691280798968,3,2,42.8809048569528,20.9913506320692,1291.24521016627,33.9654025282768,-611.449485712333,12.9740518962076,2.11177740817295
2763.96828948038,16.8662674650699,14212.7383227556,5.1421495596925,4,2,39.5542248835662,20.9248170326015,1607.70663171733,29.940119760479,-1156.26165776306,9.01530272787757,1.39043495987548
835.432227845847,17.7312042581504,3750.49756965514,4.48929002814,3,2,33.5329341317365,21.8562874251497,575.613564171482,29.7405189620759,-259.818663674365,7.88423153692615,2.21544347904471
659.825079239615,17.065868263473,2885.65245190941,4.37335976261291,3,3,32.8010645375915,21.1244178310047,445.402559618995,29.1084497671324,-214.422519620621,7.98403193612774,2.07721912981458
1714.91074272259,16.8662674650699,9182.38479537211,5.35443890263011,3,2,38.4231536926148,21.3572854291417,1007.32509003969,29.7405189620759,-707.585652682897,8.38323353293414,1.42360869842442
0,0,0,0,0,0,0,0,0,0,0,0,0
709.018056215103,17.5981370592149,3254.76725375442,4.59052802001841,3,2,40.1197604790419,21.5568862275449,488.282295260117,29.5409181636727,-220.735760954986,7.98403193612775,2.21206701237545
193.640666364603,18.3300066533599,745.898985100113,3.85197489299933,3,3,31.2707917498337,21.5568862275449,118.33561637393,25.249500998004,-75.3050499906731,3.69261477045909,1.57141674281588
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2059.19042993982,17.2654690618762,12532.4763824775,6.0861182143527,3,2,34.7638057218896,21.1576846307385,1356.38705238245,30.6054557551564,-702.803377557375,9.44777112441783,1.92996661042898
626.196706374351,17.9308050565536,2691.8650031864,4.29875305281015,3,3,31.7032601463739,21.789753825682,426.24539787252,29.7405189620759,-199.951308501831,7.95076513639388,2.13174597888974
1417.67355084508,17.1989354624085,8421.64876677663,5.94047110616999,4,2,37.5914836992681,21.4903526280772,870.027941262325,29.6407185628743,-547.645609582758,8.15036593479708,1.58866961779386
1178.66821150717,17.332002661344,6185.54964237197,5.24791419840064,3,2,38.5562208915502,21.3572854291417,774.633506432269,30.0731869594145,-404.034705074902,8.71590153027279,1.91724497104442
301.587425672796,17.7977378576181,1241.06697411882,4.11511511579169,3,2,30.6719893546241,21.4570858283433,153.556452268943,29.6074517631404,-148.030973403853,8.15036593479708,1.03732650497417
298.224615620729,18.063872255489,1192.62178625706,3.99907225557059,2,2,30.1729873586161,21.8562874251497,171.805292856645,28.8423153692615,-126.419322764083,6.98602794411177,1.35901133703476
1316.68243561736,17.3985362608117,5791.59388440235,4.39862621975876,4,3,38.9886892880905,21.3905522288756,818.603828456823,29.7737857618097,-498.078607160538,8.38323353293414,1.64352336496351
0,0,0,0,0,0,0,0,0,0,0,0,0
81.1410129098873,18.5296074517631,373.975498698737,4.60895773034117,2,2,26.979374584165,22.2887558216899,53.1069968835811,30.1064537591484,-28.0340160263063,7.81769793745842,1.89437706084448
112.316416126432,18.7292082501663,569.69191601112,5.0722052542153,5,2,26.5469061876247,22.6214238190286,76.4794628786723,29.8070525615436,-35.8369532477596,7.18562874251498,2.13409500383389
1172.19811344019,17.6979374584165,6099.16306190779,5.20318450607966,3,2,33.6992681304059,21.523619427811,737.275132281208,28.7425149700599,-434.92298115898,7.21889554224884,1.69518550230784
3299.7182563445,17.332002661344,21365.7414318523,6.47501991746463,3,2,34.9966733200266,21.1244178310047,2201.9395382418,30.8383233532934,-1097.7787181027,9.71390552228875,2.00581365072137
810.208934862487,17.6646706586826,4392.48879256636,5.42142724371693,4,2,34.7638057218896,21.9893546240852,465.712000530754,29.4411177644711,-344.496934331733,7.45176314038589,1.35186108821014
0,0,0,0,0,0,0,0,0,0,0,0,0
460.205009376354,18.063872255489,2595.43266212564,5.63973144412929,3,2,31.936127744511,21.8562874251497,287.815293341087,30.439121756487,-172.389716035267,8.58283433133732,1.66956185067447
1056.29157705201,17.2987358616101,5317.05378979554,5.03369893816142,4,2,36.4604125083167,21.3572854291417,693.382192255081,29.5409181636727,-362.909384796927,8.18363273453095,1.91062072600596
0,0,0,0,0,0,0,0,0,0,0,0,0
